date,vessel,start_time,destination,overtime,storage_type,end_time,total_tonnage,service,Price,invoice_value
2025-01-15,FRANCHE TERRE,13:24:00.000000000,SUDU6248694,normal hours,Dry,15:20:00.000000000,24.92,Full OSS,53.75,1339.45
2025-01-15,FRANCHE TERRE,15:32:00.000000000,MNBU3348122,normal hours,Dry,16:55:00.000000000,13.26,Full OSS,53.75,712.725
2025-01-16,FRANCHE TERRE,08:24:00.000000000,MNBU3348122,normal hours,Dry,09:31:00.000000000,11.59,Full OSS,53.75,622.9625
2025-01-16,FRANCHE TERRE,09:40:00.000000000,MNBU3973773,normal hours,Dry,12:30:00.000000000,24.94,Full OSS,53.75,1340.525
2025-01-16,FRANCHE TERRE,12:48:00.000000000,MNBU0208359,normal hours,Dry,15:49:00.000000000,24.84,Full OSS,53.75,1335.15
2025-01-16,FRANCHE TERRE,16:05:00.000000000,MNBU3402460,normal hours,Dry,16:55:00.000000000,8.24,Full OSS,53.75,442.90000000000003
2025-01-17,FRANCHE TERRE,08:36:00.000000000,MNBU3402460,normal hours,Dry,10:19:00.000000000,16.69,Full OSS,53.75,897.0875000000001
2025-01-17,FRANCHE TERRE,11:07:00.000000000,MNBU3483354,normal hours,Dry,11:17:00.000000000,3.8,Full OSS,53.75,204.25
2025-01-17,FRANCHE TERRE,12:09:00.000000000,MNBU0260911,normal hours,Dry,14:46:00.000000000,2.79,Full OSS,53.75,149.9625
2025-01-17,TXORI BERRI,12:19:00.000000000,MNBU4350546,normal hours,Brine,16:43:00.000000000,23.54,Basic OSS,25.5,600.27
2025-01-17,TXORI BERRI,14:14:00.000000000,MNBU3103095,normal hours,Brine,16:59:00.000000000,3.34,Basic OSS,25.5,85.17
2025-01-17,TXORI BERRI,16:05:00.000000000,MNBU3063705,normal hours,Brine,16:33:00.000000000,12.38,Basic OSS,25.5,315.69
2025-01-18,TXORI BERRI,08:23:00.000000000,MNBU4350546,normal hours,Brine,08:30:00.000000000,3.42,Basic OSS,25.5,87.21
2025-01-18,TXORI BERRI,08:29:00.000000000,MNBU3063705,normal hours,Brine,09:16:00.000000000,14.54,Basic OSS,25.5,370.77
2025-01-18,TXORI BERRI,08:46:00.000000000,TLLU1217487,normal hours,Brine,10:53:00.000000000,26.93,Basic OSS,25.5,686.715
2025-01-18,TXORI BERRI,09:40:00.000000000,MNBU0037810,normal hours,Brine,11:38:00.000000000,26.8,Basic OSS,25.5,683.4
2025-01-18,TXORI BERRI,11:22:00.000000000,MNBU4153655,normal hours,Brine,13:18:00.000000000,26.89,Basic OSS,25.5,685.695
2025-01-18,TXORI BERRI,12:14:00.000000000,MNBU3126280,normal hours,Brine,13:31:00.000000000,27.02,Basic OSS,25.5,689.01
2025-01-18,TXORI BERRI,13:36:00.000000000,MNBU0270416,normal hours,Brine,14:46:00.000000000,26.93,Basic OSS,25.5,686.715
2025-01-18,TXORI BERRI,14:54:00.000000000,MNBU3103095,normal hours,Brine,16:42:00.000000000,21.3,Basic OSS,25.5,543.15
2025-01-18,TXORI BERRI,18:28:00.000000000,MNBU3103095,overtime 150%,Brine,18:28:00.000000000,2.49,Basic OSS,38.25,95.2425
2025-01-20,BERNICA,08:29:00.000000000,SUDU6003916,normal hours,Dry,09:33:00.000000000,25.1,Full OSS,53.75,1349.125
2025-01-20,BERNICA,08:47:00.000000000,MNBU4456651,normal hours,Brine,09:37:00.000000000,25.0,Full OSS,38.75,968.75
2025-01-20,BERNICA,09:43:00.000000000,SUDU6022480,normal hours,Dry,11:16:00.000000000,24.96,Full OSS,53.75,1341.6000000000001
2025-01-20,BERNICA,09:46:00.000000000,MNBU3391448,normal hours,Brine,11:01:00.000000000,24.93,Full OSS,38.75,966.0375
2025-01-20,BERNICA,11:27:00.000000000,SUDU8170039,normal hours,Dry,13:42:00.000000000,24.97,Full OSS,53.75,1342.1375
2025-01-20,BERNICA,12:20:00.000000000,MNBU0467473,normal hours,Brine,13:10:00.000000000,11.96,Full OSS,38.75,463.45000000000005
2025-01-20,BERNICA,13:31:00.000000000,SUDU8179864,normal hours,Dry,16:49:00.000000000,24.91,Full OSS,53.75,1338.9125
2025-01-21,BERNICA,08:33:00.000000000,MNBU0467473,normal hours,Dry,10:18:00.000000000,12.95,Full OSS,53.75,696.0625
2025-01-21,BERNICA,10:20:00.000000000,SUDU8072393,normal hours,Dry,16:51:00.000000000,15.78,Full OSS,53.75,848.175
2025-01-21,BERNICA,12:50:00.000000000,SUDU8086186,normal hours,Dry,16:44:00.000000000,20.78,Full OSS,53.75,1116.925
2025-01-21,IZURDIA,12:43:00.000000000,MNBU4114746,normal hours,Brine,14:10:00.000000000,26.45,Basic OSS,25.5,674.475
2025-01-21,IZURDIA,13:17:00.000000000,MNBU4044232,normal hours,Brine,14:41:00.000000000,26.43,Basic OSS,25.5,673.965
2025-01-21,IZURDIA,14:15:00.000000000,MNBU4440681,normal hours,Brine,15:17:00.000000000,26.38,Basic OSS,25.5,672.6899999999999
2025-01-21,IZURDIA,15:01:00.000000000,MNBU4204198,normal hours,Brine,16:49:00.000000000,21.02,Basic OSS,25.5,536.01
2025-01-21,IZURDIA,15:28:00.000000000,MNBU3221539,normal hours,Brine,16:55:00.000000000,26.52,Basic OSS,25.5,676.26
2025-01-22,BERNICA,09:03:00.000000000,SUDU8086186,normal hours,Dry,09:17:00.000000000,4.19,Full OSS,53.75,225.21250000000003
2025-01-22,BERNICA,09:45:00.000000000,SUDU8072393,normal hours,Dry,16:06:00.000000000,9.09,Full OSS,53.75,488.5875
2025-01-22,BERNICA,10:02:00.000000000,SUDU8161084,normal hours,Dry,16:54:00.000000000,17.67,Full OSS,53.75,949.7625
2025-01-22,BERNICA,12:22:00.000000000,MNBU0260911,normal hours,Dry,13:32:00.000000000,6.04,Full OSS,53.75,324.65
2025-01-22,ELAI ALAI,08:40:00.000000000,MNBU4501935,normal hours,Brine,09:58:00.000000000,27.1,Full OSS,38.75,1050.125
2025-01-22,ELAI ALAI,09:01:00.000000000,MNBU3012966,normal hours,Brine,13:20:00.000000000,27.56,Full OSS,38.75,1067.95
2025-01-22,ELAI ALAI,10:07:00.000000000,MNBU0067306,normal hours,Brine,16:53:00.000000000,12.055,Full OSS,38.75,467.13124999999997
2025-01-22,ELAI ALAI,10:11:00.000000000,MNBU0298795,normal hours,Brine,11:31:00.000000000,27.135,Full OSS,38.75,1051.48125
2025-01-22,ELAI ALAI,11:37:00.000000000,MNBU3042908,normal hours,Brine,16:58:00.000000000,24.63,Full OSS,38.75,954.4124999999999
2025-01-22,ELAI ALAI,13:39:00.000000000,MNBU3533115,normal hours,Brine,15:13:00.000000000,27.64,Full OSS,38.75,1071.05
