vessel_client,customer,date_plugged,time_plugged,container_number,operation_type,shipping_line,plugged_status,tonnage,set_point,date_out,location,days_on_plug,plugin_price,monitoring_price,electricity_unit_price,total_electricity,total
PLAYA DE ANZORAS,IOT,2023-12-28,16:32:00.000000000,TTNU8193049,Plugin,IOT,Full,26.49,-25,2024-01-15,IOT,19,25.0,30.0,70.0,1330.0,1385.0
PLAYA DE AZKORRI,IOT,2023-12-28,14:17:00.000000000,TTNU8202515,Plugin,IOT,Full,26.15,-25,2024-01-29,Fishing Port,33,25.0,30.0,70.0,2310.0,2365.0
PLAYA DE AZKORRI,IOT,2023-12-28,10:21:00.000000000,TTNU8203430,Plugin,IOT,Full,0.0,-25,2024-01-08,Unload Container to CCCS,12,25.0,30.0,70.0,840.0,895.0
PLAYA DE AZKORRI,IOT,2023-12-28,14:11:00.000000000,TTNU8203975,Plugin,IOT,Full,26.22,-25,2024-01-29,Fishing Port,33,25.0,30.0,70.0,2310.0,2365.0
IZARO,IOT,2023-12-28,14:15:00.000000000,TCLU1215531,Stuffing and Plugin,IOT,Full,26.99,-25,2024-01-13,IOT,17,25.0,30.0,70.0,1190.0,1245.0
IZARO,IOT,2023-12-28,14:02:00.000000000,TCLU1221914,Stuffing and Plugin,IOT,Full,26.69,-25,2024-01-13,IOT,17,25.0,30.0,70.0,1190.0,1245.0
IZARO,IOT,2023-12-28,14:10:00.000000000,TCLU1222417,Stuffing and Plugin,IOT,Full,26.88,-25,2024-01-13,IOT,17,25.0,30.0,70.0,1190.0,1245.0
IZARO,IOT,2023-12-28,14:07:00.000000000,TRIU8980882,Stuffing and Plugin,IOT,Full,27.18,-25,2024-01-13,IOT,17,25.0,30.0,70.0,1190.0,1245.0
PENDRUC,IOT,2023-12-28,17:30:00.000000000,TTNU8016059,Stuffing and Plugin,IOT,Full,26.95,-25,2024-01-13,IOT,17,25.0,30.0,70.0,1190.0,1245.0
PENDRUC,IOT,2023-12-28,14:06:00.000000000,TTNU8034849,Stuffing and Plugin,IOT,Full,27.06,-25,2024-01-13,IOT,17,25.0,30.0,70.0,1190.0,1245.0
PENDRUC,IOT,2023-12-28,14:02:00.000000000,TTNU8056832,Stuffing and Plugin,IOT,Full,26.31,-25,2024-01-13,IOT,17,25.0,30.0,70.0,1190.0,1245.0
IZARO,IOT,2023-12-28,17:07:00.000000000,TTNU8192042,Stuffing and Plugin,IOT,Full,26.24,-25,2024-01-13,IOT,17,25.0,30.0,70.0,1190.0,1245.0
PENDRUC,IOT,2023-12-28,16:10:00.000000000,TTNU8193347,Stuffing and Plugin,IOT,Full,26.73,-25,2024-01-13,IOT,17,25.0,30.0,70.0,1190.0,1245.0
IZARO,IOT,2023-12-28,14:30:00.000000000,TTNU8203738,Stuffing and Plugin,IOT,Full,27.09,-25,2024-01-13,IOT,17,25.0,30.0,70.0,1190.0,1245.0
IZARO,MAERSKLINE,2023-12-29,11:10:00.000000000,MNBU0483746,Full OSS,MAERSKLINE,Full,26.06,-25,2024-01-09,LML,12,25.0,30.0,70.0,840.0,895.0
IZARO,MAERSKLINE,2023-12-29,17:00:00.000000000,MNBU3181230,Full OSS,MAERSKLINE,Full,25.88,-25,2024-01-09,LML,12,25.0,30.0,70.0,840.0,895.0
IZARO,MAERSKLINE,2023-12-29,09:28:00.000000000,MNBU3528470,Full OSS,MAERSKLINE,Completed,13.07,-25,2024-01-09,LML,12,25.0,30.0,70.0,840.0,895.0
JAI ALAI,MAERSKLINE,2023-12-29,11:03:00.000000000,MNBU9048523,Full OSS,MAERSKLINE,Completed,5.64,-25,2024-01-09,LML,12,25.0,30.0,70.0,840.0,895.0
IZARO,MAERSKLINE,2023-12-29,16:51:00.000000000,MNBU9107610,Full OSS,MAERSKLINE,Full,26.06,-25,2024-01-09,LML,12,25.0,30.0,70.0,840.0,895.0
JAI ALAI,MAERSKLINE,2023-12-29,11:07:00.000000000,SUDU6106112,Full OSS,MAERSKLINE,Partial,4.39,-25,2024-01-03,Unload Container to CCCS,6,25.0,30.0,70.0,420.0,475.0
IZARO,MAERSKLINE,2023-12-29,14:17:00.000000000,SUDU6239265,Full OSS,MAERSKLINE,Full,25.96,-25,2024-01-09,LML,12,25.0,30.0,70.0,840.0,895.0
BERNICA,MAERSKLINE,2023-12-29,14:46:00.000000000,SUDU8164041,Full OSS,MAERSKLINE,Partial,6.36,-35,2024-01-06,Unload Container to CCCS,9,25.0,30.0,100.0,900.0,955.0
BERNICA,MAERSKLINE,2023-12-29,13:55:00.000000000,SUDU8165310,Full OSS,MAERSKLINE,Full,24.73,-35,2024-01-06,Unload Container to CCCS,9,25.0,30.0,100.0,900.0,955.0
PENDRUC,IOT,2023-12-29,15:20:00.000000000,TCLU1216780,Stuffing and Plugin,IOT,Full,26.89,-25,2024-01-13,IOT,16,25.0,30.0,70.0,1120.0,1175.0
PENDRUC,IOT,2023-12-29,15:40:00.000000000,TCLU1227912,Stuffing and Plugin,IOT,Full,27.02,-25,2024-01-13,IOT,16,25.0,30.0,70.0,1120.0,1175.0
PENDRUC,IOT,2023-12-29,15:23:00.000000000,TRIU8864476,Stuffing and Plugin,IOT,Full,26.97,-25,2024-01-13,IOT,16,25.0,30.0,70.0,1120.0,1175.0
PENDRUC,IOT,2023-12-29,16:14:00.000000000,TTNU8034108,Stuffing and Plugin,IOT,Full,26.84,-25,2024-01-13,IOT,16,25.0,30.0,70.0,1120.0,1175.0
PENDRUC,IOT,2023-12-29,16:58:00.000000000,TTNU8194786,Stuffing and Plugin,IOT,Full,26.32,-25,2024-01-13,IOT,16,25.0,30.0,70.0,1120.0,1175.0
IZARO,IOT,2023-12-29,10:33:00.000000000,TTNU8203105,Stuffing and Plugin,IOT,Full,26.88,-25,2024-01-13,IOT,16,25.0,30.0,70.0,1120.0,1175.0
IZARO,IOT,2023-12-29,18:07:00.000000000,TTNU8203363,Stuffing and Plugin,IOT,Partial,13.53,-25,2024-01-13,IOT,16,25.0,30.0,70.0,1120.0,1175.0
PENDRUC,IOT,2023-12-29,10:30:00.000000000,TTNU8204225,Stuffing and Plugin,IOT,Completed,14.34,-25,2024-01-13,IOT,16,25.0,30.0,70.0,1120.0,1175.0
IZARO,IOT,2023-12-29,10:28:00.000000000,TTNU8204924,Stuffing and Plugin,IOT,Full,26.87,-25,2024-01-13,IOT,16,25.0,30.0,70.0,1120.0,1175.0
IZARO,IOT,2023-12-29,15:19:00.000000000,TTNU8338522,Stuffing and Plugin,IOT,Full,26.96,-25,2024-01-13,IOT,16,25.0,30.0,70.0,1120.0,1175.0
BERNICA,MAERSKLINE,2023-12-30,14:36:00.000000000,MNBU3591868,Full OSS,MAERSKLINE,Partial,16.18,-25,2024-01-06,Unload Container to CCCS,8,25.0,30.0,70.0,560.0,615.0
BERNICA,MAERSKLINE,2023-12-30,13:01:00.000000000,MNBU4051951,Full OSS,MAERSKLINE,Completed,21.76,-25,2024-01-06,Unload Container to CCCS,8,25.0,30.0,70.0,560.0,615.0
PENDRUC,IOT,2023-12-30,11:18:00.000000000,TCLU1223305,Stuffing and Plugin,IOT,Completed,20.37,-25,2024-01-13,IOT,15,25.0,30.0,70.0,1050.0,1105.0
PENDRUC,IOT,2023-12-30,10:08:00.000000000,TRIU8030072,Stuffing and Plugin,IOT,Completed,13.54,-25,2024-01-13,IOT,15,25.0,30.0,70.0,1050.0,1105.0
PENDRUC,IOT,2023-12-30,14:47:00.000000000,TTNU8202599,Stuffing and Plugin,IOT,Full,28.1,-25,2024-01-13,IOT,15,25.0,30.0,70.0,1050.0,1105.0
EUSKADI ALAI,MAERSKLINE,2024-01-03,15:30:00.000000000,MSFU0002546,Full OSS,MAERSKLINE,Completed,2.68,-60,2024-01-09,LML,7,25.0,30.0,110.0,770.0,825.0
EUSKADI ALAI,MAERSKLINE,2024-01-03,16:00:00.000000000,MSFU8626370,Full OSS,MAERSKLINE,Full,25.0,-60,2024-01-09,LML,7,25.0,30.0,110.0,770.0,825.0
PLAYA DE RIS,IOT,2024-01-03,16:00:00.000000000,TCLU1216461,Plugin,IOT,Full,26.19,-25,2024-01-08,IOT,6,25.0,30.0,70.0,420.0,475.0
PLAYA DE RIS,IOT,2024-01-03,13:03:00.000000000,TCLU1216899,Plugin,IOT,Full,26.52,-25,2024-01-08,IOT,6,25.0,30.0,70.0,420.0,475.0
PLAYA DE RIS,IOT,2024-01-03,10:52:00.000000000,TTNU8071858,Plugin,IOT,Full,26.1,-25,2024-01-08,IOT,6,25.0,30.0,70.0,420.0,475.0
PLAYA DE RIS,IOT,2024-01-03,16:30:00.000000000,TTNU8203445,Plugin,IOT,Full,25.84,-25,2024-01-08,IOT,6,25.0,30.0,70.0,420.0,475.0
PLAYA DE RIS,IOT,2024-01-03,16:00:00.000000000,TTNU8203677,Plugin,IOT,Full,26.4,-25,2024-01-08,IOT,6,25.0,30.0,70.0,420.0,475.0
PLAYA DE RIS,IOT,2024-01-03,11:43:00.000000000,TTNU8203830,Plugin,IOT,Full,25.56,-25,2024-01-08,IOT,6,25.0,30.0,70.0,420.0,475.0
PLAYA DE RIS,IOT,2024-01-03,13:00:00.000000000,TTNU8204014,Plugin,IOT,Full,26.12,-25,2024-01-08,IOT,6,25.0,30.0,70.0,420.0,475.0
PLAYA DE RIS,IOT,2024-01-03,13:48:00.000000000,TTNU8204478,Plugin,IOT,Full,26.18,-25,2024-01-08,IOT,6,25.0,30.0,70.0,420.0,475.0
DRENNEC,IOT,2024-01-03,10:00:00.000000000,TCLU1225308,Stuffing and Plugin,IOT,Full,26.97,-25,2024-01-27,IOT,25,25.0,30.0,70.0,1750.0,1805.0
DRENNEC,IOT,2024-01-03,16:05:00.000000000,TCLU1264583,Stuffing and Plugin,IOT,Full,17.6,-25,2024-01-27,IOT,25,25.0,30.0,70.0,1750.0,1805.0
DRENNEC,IOT,2024-01-03,16:10:00.000000000,TTNU8054125,Stuffing and Plugin,IOT,Full,25.2,-25,2024-01-27,IOT,25,25.0,30.0,70.0,1750.0,1805.0
DRENNEC,IOT,2024-01-03,15:20:00.000000000,TTNU8058692,Stuffing and Plugin,IOT,Full,26.79,-25,2024-01-27,IOT,25,25.0,30.0,70.0,1750.0,1805.0
DRENNEC,IOT,2024-01-03,10:46:00.000000000,TTNU8203403,Stuffing and Plugin,IOT,Full,26.84,-25,2024-01-27,IOT,25,25.0,30.0,70.0,1750.0,1805.0
DRENNEC,IOT,2024-01-03,14:09:00.000000000,TTNU8203825,Stuffing and Plugin,IOT,Full,30.17,-25,2024-01-27,IOT,25,25.0,30.0,70.0,1750.0,1805.0
DRENNEC,IOT,2024-01-03,13:10:00.000000000,TTNU8203960,Stuffing and Plugin,IOT,Full,27.04,-25,2024-01-27,IOT,25,25.0,30.0,70.0,1750.0,1805.0
